Road,S Ref E,S Ref N,Score
C,437229,360452,-1
C,437601,143458,-1
C,438198,444385,-1
C,440530,242297,-1
C,441029,150617,-1
C,442205,522926,-1
C,444908,317703,-1
C,446257,88876,-1
C,446867,221247,-1
C,447650,418271,-1
C,447999,248921,-1
C,448409,101541,-1
C,449190,389050,-1
C,450452,143955,-1
C,450472,362296,-1
C,450535,116726,-1
C,450854,123569,-1
C,450904,115485,-1
C,451295,124009,-1
C,451978,259491,-1
C,452870,141256,-1
C,453653,170290,-1
C,457669,117965,-1
C,458531,229698,-1
C,458671,506669,-1
C,459479,86432,-1
C,459754,123794,-1
C,461933,322945,-1
C,462635,352268,-1
C,462810,328925,-1
C,462957,244146,-1
C,463846,124270,-1
C,465037,223275,-1
C,466389,183551,-1
C,466530,239190,-1
C,466560,521210,-1
C,467918,306249,-1
C,468345,354968,-1
C,468391,260866,-1
C,468584,162007,-1
C,468606,419726,-1
C,469152,170119,-1
C,469278,204490,-1
C,471732,236535,-1
C,471876,245589,-1
C,472100,360349,-1
C,472311,113018,-1
C,472386,126394,-1
C,475279,186528,-1
C,475441,227863,-1
C,476616,219784,-1
C,477724,122316,-1
C,478624,286282,-1
C,478939,239224,-1
C,479522,113860,-1
C,479800,295463,-1
C,481669,331472,-1
C,482030,255323,-1
C,485085,333476,-1
C,485747,208993,-1
C,485922,209178,-1
C,486358,125846,-1
C,486456,446339,-1
C,486804,120091,-1
C,487049,123028,-1
C,488141,379683,-1
C,489920,105058,-1
C,489940,207339,-1
C,490005,137540,-1
C,491024,319896,-1
C,493054,382692,-1
C,493600,147638,-1
C,493610,357700,-1
C,493658,248041,-1
C,493768,164357,-1
C,494228,279157,-1
C,494849,108516,-1
C,495387,184106,-1
C,498370,381660,-1
C,498797,419212,-1
C,500920,253240,-1
C,500956,444380,-1
C,501977,260062,-1
C,502025,128883,-1
C,502316,382483,-1
C,503750,336057,-1
C,504529,227740,-1
C,504898,106787,-1
C,506686,213684,-1
C,506958,283896,-1
C,506977,167344,-1
C,507410,117410,-1
C,508165,282371,-1
C,510000,242000,-1
C,510534,422799,-1
C,511338,214909,-1
C,512000,278050,-1
C,512496,466554,-1
C,514331,220846,-1
C,514581,279686,-1
C,514986,306994,-1
C,515358,289257,-1
C,516230,108150,-1
C,516435,459171,-1
C,516986,412863,-1
C,518253,378237,-1
C,519081,372065,-1
C,520397,378245,-1
C,521375,308155,-1
C,521869,137373,-1
C,521993,247489,-1
C,522997,328880,-1
C,526000,148000,-1
C,529237,394057,-1
C,532732,130931,-1
C,534793,222938,-1
C,534871,130398,-1
C,538150,285515,-1
C,539940,162490,-1
C,541439,150610,-1
C,542095,316200,-1
C,543123,365179,-1
C,543151,218471,-1
C,545847,110367,-1
C,545977,212967,-1
C,548789,243392,-1
C,549610,265250,-1
C,552728,205275,-1
C,553540,136570,-1
C,554053,123388,-1
C,554300,182880,-1
C,555588,263518,-1
C,555927,164500,-1
C,556193,271744,-1
C,557200,289492,-1
C,559440,248280,-1
C,560960,126200,-1
