Road,S Ref E,S Ref N,FdCar,Score
A644,412600,425000,8538,0.866949225
A65,412600,448100,11919,1.210256244
A34,412650,277500,23131,2.34872365
A688,412700,520590,7277,0.738907181
A5,412800,305000,15307,1.554274044
A35,412820,92605,14566,1.479032843
A650,412820,437660,25140,2.552717676
A342,412950,155000,3431,0.348384023
A38,412960,306350,26577,2.698630775
A38,413000,291000,21005,2.132849435
A453,413000,297600,10248,1.040582766
M40,413000,272188,30852,3.132714628
A1,413000,630866,7868,0.79891737
A41,413000,282580,23879,2.424675632
M42,413000,272306,59453,6.03686253
A338,413000,95000,50358,5.113355479
A6024,413000,407450,3568,0.362295015
A360,413000,131190,8212,0.833847158
A4040,413001,285734,11394,1.156947701
A4040,413100,287000,11437,1.161313924
M6Toll,413140,304620,6471,0.657065874
A345,413158,154567,1441,0.146319259
A643,413168,420544,9154,0.929497916
M40,413170,272370,46278,4.699071942
A3060,413170,93690,23794,2.416044725
M42,413200,273290,99088,10.0614037
A342,413216,154896,2273,0.230800608
A5192,413225,310038,12156,1.234321244
A338,413250,95636,50358,5.113355479
A692,413320,551440,11463,1.163953967
A692,413320,552000,15176,1.540972293
A345,413330,155600,3250,0.330005268
A345,413355,154613,2393,0.242985418
M62,413400,420460,64900,6.589951359
A452,413400,291500,24190,2.456254598
A31,413400,104550,60531,6.146322739
A342,413430,154961,3377,0.342900859
A6107,413430,420640,10598,1.076121795
A643,413470,421000,5610,0.569639863
A38,413481,304000,21940,2.227789412
A635,413500,407910,5452,0.55359653
A338,413520,96225,33811,3.433171732
A5192,413530,309556,13288,1.349264617
A691,413570,550000,7554,0.767033784
A697,413580,600000,2981,0.302690986
A4361,413582,180000,5411,0.549433387
A628,413600,400000,6524,0.662447499
A69,413620,567820,1388,0.140937635
A69,413620,567710,1381,0.140226854
A35,413630,93501,22704,2.305366035
M6Toll,413630,302200,41015,4.164666487
A452,413700,291000,30494,3.096363278
A616,413700,415000,11828,1.201016097
A5127,413750,310180,10548,1.071044791
A3094,413780,129000,10455,1.061601563
M6,413800,290180,89508,9.088649712
A5192,413800,309520,13421,1.362769448
A31,413810,104900,60531,6.146322739
A35,413880,93705,22704,2.305366035
A452,413880,290300,34186,3.471249263
A3102,413900,184000,22372,2.271654727
A38,413900,309215,37150,3.772214068
A650,414000,437600,17408,1.767609758
A6107,414000,420300,10598,1.076121795
A36,414000,130450,21264,2.159148316
A58,414000,426300,11390,1.156541541
A657,414000,437800,16033,1.627992144
A649,414000,425330,6834,0.693924924
A419,414000,190780,30112,3.057574967
A629,414000,417050,10470,1.063124665
A453,414000,298390,14525,1.474869699
A616,414000,412870,15215,1.544932356
M6,414060,290100,12072,1.225791877
A44,414070,234850,6153,0.624776128
A69,414080,567790,26585,2.699443095
A635,414090,408120,8537,0.866847685
A62,414100,417030,5653,0.574006087
A629,414100,416940,7953,0.807548277
A6,414132,371373,4096,0.415908178
A62,414160,416800,28178,2.861196447
A62,414160,416440,38925,3.952447714
A62,414160,417000,18965,1.925707666
M6Toll,414170,298770,41015,4.164666487
A515,414177,320000,3680,0.373667504
A31,414200,105200,67119,6.815268803
A38,414200,310000,31464,3.194857158
A345,414220,132000,15709,1.595093157
A345,414220,150000,3826,0.388492356
A452,414236,290000,15453,1.569098896
A354,414250,128460,7339,0.745202666
A62,414280,417210,25957,2.635675924
A34,414300,276000,37057,3.76277084
A345,414300,131500,14276,1.449586219
A38,414350,310540,10548,1.071044791
M42,414360,275000,99088,10.0614037
A45,414400,284000,35351,3.589543459
A50,414402,333285,30721,3.119412877
A338,414487,128944,31523,3.200848023
A641,414500,421000,14170,1.43882297
A644,414500,422950,17487,1.775631424
A338,414500,128720,31485,3.1969895
A62,414600,416300,25476,2.586835144
A62,414600,417100,14970,1.520055036
A453,414605,299081,14525,1.474869699
A647,414630,432000,11896,1.207920822
A5,414677,304152,17211,1.747606361
A36,414700,130780,23519,2.388121202
A6038,414700,437000,10915,1.108310001
A338,414700,129260,23946,2.431478817
A62,414740,416759,26880,2.72939742
A68,414750,530000,5083,0.51612824
A58,414750,426010,11390,1.156541541
A641,414780,420550,14170,1.43882297
A641,414790,425500,11869,1.20517924
A641,414796,423000,15425,1.566255774
A6024,414800,410000,7922,0.804400534
A641,414800,425000,13828,1.404096262
A641,414830,426000,11869,1.20517924
A38,414850,292220,22588,2.293587385
A641,414860,420000,18834,1.912405915
A6038,414880,437400,21749,2.208395256
A345,414970,136000,9684,0.98331416
A38,414974,311400,40042,4.065867987
A515,414975,326154,2605,0.264511915
A46,414996,255926,17374,1.764157395
A52,415000,346433,4812,0.488610877
A6107,415000,420300,15738,1.59803782
A688,415000,522870,5895,0.598578787
A3400,415000,265000,8618,0.875072432
A51,415000,306938,8801,0.893654267
A58,415000,426140,11442,1.161821625
A657,415000,437650,20973,2.129600152
A36,415000,130500,24703,2.50834466
A3400,415000,273970,9568,0.97153551
A647,415000,432230,6931,0.703774312
A6036,415000,429460,14355,1.457607885
A6177,415000,434300,13395,1.360129406
M40,415000,271020,77130,7.831786569
A338,415000,128400,11992,1.21766867
A629,415000,416440,30719,3.119209797
A643,415000,422900,6874,0.697986528
A650,415000,435800,20348,2.0661376
A693,415000,552000,8809,0.894466587
A4289,415000,183740,13686,1.38967757
A41,415000,280372,9454,0.959959941
A303,415000,142060,25299,2.568862549
A513,415000,315600,5287,0.536842417
A6037,415000,436866,22136,2.247691268
A692,415000,553375,6755,0.685903258
A65,415000,447200,18796,1.908547392
A644,415000,422860,9128,0.926857874
A345,415000,158600,3439,0.349196344
A6177,415000,431100,15275,1.551024761
A635,415000,409400,5837,0.592689462
A515,415000,363200,4149,0.421289803
A641,415000,426800,11286,1.145981372
A689,415000,535290,3008,0.305432568
A62,415000,417720,19830,2.013539838
A616,415000,411180,9578,0.972550911
A69,415000,567675,26585,2.699443095
A38,415010,298520,16443,1.669623578
A4361,415030,182000,15116,1.534879888
A338,415130,110000,9959,1.011237682
M6Toll,415200,297690,19429,1.972822264
A429,415220,219990,5813,0.5902525
A345,415240,143000,10199,1.035607302
A36,415250,129390,24628,2.500729154
A4311,415270,189250,12638,1.283263564
A38,415270,297780,16180,1.642918536
A446,415290,298060,14227,1.444610755
A38,415380,295000,14802,1.502996302
A345,415400,161800,3819,0.387781575
M6Toll,415400,297080,19429,1.972822264
A3400,415420,271530,9568,0.97153551
A4361,415460,183000,12123,1.230970421
M4,415500,181900,69915,7.099174874
A38,415510,297230,16180,1.642918536
A4311,415535,188393,13888,1.410188667
A649,415550,425150,4840,0.491454
A453,415600,300000,15542,1.578135963
A616,415600,410000,6189,0.628431571
A38,415630,296860,15676,1.591742335
M6Toll,415660,296860,592,0.060111729
A38,415680,296460,11841,1.202336118
A38,415680,296660,15676,1.591742335
A6177,415700,434600,15878,1.612253431
A6085,415750,567360,6214,0.630970073
A641,415760,430200,23924,2.429244936
M6Toll,415770,296710,592,0.060111729
A4259,415800,185000,17827,1.810155052
A3400,415860,270000,8450,0.858013698
M6Toll,415960,296460,10328,1.048705973
A6177,415970,434760,15420,1.565748073
A4259,416000,184900,31196,3.167644416
A303,416000,142200,21834,2.217026163
A641,416000,431750,27916,2.834592945
A650,416000,433700,14031,1.424708899
A515,416000,361000,4635,0.470638283
A3028,416000,144000,5492,0.557658134
A6181,416000,433530,20107,2.04166644
A338,416000,118150,9985,1.013877725
A30,416000,132070,13555,1.376375819
A419,416000,188880,39215,3.981894338
A6036,416000,429960,22137,2.247792808
A35,416000,93100,38198,3.878628074
A45,416000,283740,27560,2.798444676
A4097,416000,292400,10506,1.066780108
A6177,416000,434830,2289,0.232425249
A6038,416000,438680,13242,1.344593774
A6177,416000,430520,25008,2.539314385
M6Toll,416060,296430,20879,2.120055384
A429,416085,221031,8105,0.822982369
A515,416086,330000,5634,0.572076825
A6177,416100,434740,2893,0.293755459
A6037,416150,434800,23429,2.378982595
A515,416160,335000,5465,0.554916551
A313,416180,185500,12498,1.269047952
A647,416180,432550,15813,1.605653326
M42,416200,277700,104549,10.61591409
A41,416200,280020,14937,1.516704214
A6181,416220,432780,26137,2.653953138
A6177,416235,434845,17004,1.726587564
A6037,416241,434595,23879,2.424675632
M62,416280,421992,64900,6.589951359
A641,416284,432675,26142,2.654460839
A6181,416350,432790,10876,1.104349938
A6181,416350,433720,17421,1.768929779
M6,416370,290730,93238,9.46739422
A345,416370,160200,4797,0.487087776
A616,416380,408000,3552,0.360670373
A6037,416385,434646,12058,1.224370316
A50,416415,332020,34439,3.496938904
A6177,416470,430380,13287,1.349163077
A4312,416490,185000,24223,2.45960542
A649,416500,425000,4840,0.491454
A6037,416500,434000,32360,3.285837072
A68,416500,528000,5263,0.534405455
A696,416500,572830,11345,1.151972237
A647,416504,432662,24678,2.505806158
A6177,416520,430310,11571,1.174920296
A6181,416540,433030,9673,0.982197219
A6181,416545,433850,7171,0.728143932
A515,416600,360000,3087,0.313454235
M606,416600,430330,17577,1.784770032
A691,416618,547659,12354,1.25442618
A6177,416620,430390,12205,1.239296708
A515,416660,331500,5634,0.572076825
A643,416680,424870,6874,0.697986528
A5012,416700,360300,2729,0.277102885
A6177,416700,434920,13106,1.330784322
A650,416751,433685,40995,4.162635685
A4259,416800,184000,19330,1.962769796
A6181,416860,433015,9251,0.939347304
A1,416900,622200,5825,0.591470981
A650,416909,432856,43702,4.437504689
A338,416930,124000,12138,1.232493522
A644,416960,422000,16182,1.643121616
A41,417000,278771,32310,3.280760068
A650,417000,433214,40653,4.127908977
A6177,417000,430260,37745,3.832630417
A649,417000,424740,9540,0.968692388
M62,417000,424810,86164,8.749099675
A6177,417000,435000,7573,0.768963045
A58,417000,426440,11442,1.161821625
M62,417000,423500,86164,8.749099675
A695,417000,563310,13669,1.387951389
A52,417000,345890,6841,0.694635705
M606,417020,429250,47469,4.82000618
A658,417040,434000,11852,1.203453059
M6Toll,417060,295650,15015,1.52462434
M6,417100,290420,93238,9.46739422
A65,417140,445000,9920,1.007277619
A6038,417160,440000,16827,1.70861497
A65,417250,446160,9027,0.916602325
A69,417370,566740,29436,2.988933871
A6076,417400,550000,7073,0.718193004
A6085,417400,565000,5599,0.568522922
A361,417400,187920,8159,0.828465534
A424,417400,228900,3292,0.334269952
A515,417499,346000,9001,0.913962283
M6,417500,289930,59718,6.063770652
A422,417500,255450,8664,0.879743275
A696,417500,572250,10221,1.037841184
A62,417536,420589,25965,2.636488244
A650,417550,432000,27439,2.786158326
A3400,417571,259992,9631,0.977932535
A694,417600,560000,11907,1.209037763
A361,417600,188000,13644,1.385412887
M606,417610,427700,47469,4.82000618
A419,417620,187900,36321,3.688037339
A51,417660,305000,6937,0.704383553
A338,417700,135000,7138,0.724793109
A62,417720,420800,25965,2.636488244
A6038,417742,444274,8001,0.812422201
A361,417770,188000,8159,0.828465534
A643,417800,425000,5370,0.545270243
A65,417802,443748,18014,1.829143048
A361,417860,188500,13179,1.338196748
A46,417861,256065,13698,1.390896051
A6187,417886,383141,6341,0.643865664
A6177,417890,430850,39516,4.012457903
A515,417911,347856,4673,0.474496806
A4141,417965,276987,13017,1.321747255
A660,417990,445980,12969,1.316873331
A635,418000,408600,8153,0.827856293
A68,418000,526300,7428,0.754239733
A4259,418000,182900,23090,2.344560507
A419,418000,187420,40950,4.158066382
A422,418000,255355,9521,0.966763126
A62,418000,421100,22178,2.251955951
A65,418000,442700,18014,1.829143048
A6176,418000,435700,8369,0.849788951
M42,418000,290000,51281,5.207076975
A4097,418000,293125,10884,1.105162259
A647,418000,432920,16117,1.636521511
A4312,418000,186250,13063,1.326418099
A628,418000,401170,6244,0.634016276
A629,418000,415680,17613,1.788425474
A45,418000,282930,32298,3.279541587
A4189,418000,265170,6279,0.637570179
A658,418030,435000,11511,1.168827891
A515,418080,346500,3973,0.403418748
A616,418100,405000,2076,0.210797211
A6177,418100,434430,16212,1.646167819
A6038,418100,444510,8001,0.812422201
A1,418150,588550,2981,0.302690986
A1,418173,619356,5883,0.597360306
A515,418192,346344,10339,1.049822914
A1,418200,588000,16472,1.67256824
A693,418220,552000,12630,1.282451243
A515,418233,346554,7907,0.802877433
A1,418239,610153,10895,1.1062792
A650,418240,430800,20428,2.074260807
A6038,418250,441220,16995,1.725673703
A35,418260,93835,27312,2.773262735
A6038,418310,441800,8673,0.880657136
A4091,418420,295000,7106,0.721543827
A337,418420,93665,24554,2.493215188
M6Toll,418430,294110,26536,2.694467631
A4097,418460,293450,9904,1.005652978
A6177,418500,432000,13343,1.354849322
A51,418500,305000,11623,1.18020038
A693,418500,552300,14020,1.423591958
A38,418525,316106,34139,3.466476879
A452,418530,287000,14339,1.455983244
A446,418539,294003,25260,2.564902486
M42,418540,291830,67467,6.850604751
A5,418610,302750,12042,1.222745674
A5,418650,302800,12042,1.222745674
A35,418680,94070,18876,1.916670599
A50,418697,331798,33724,3.424337745
A4,418700,169000,12860,1.305805462
A638,418700,426000,13991,1.420647295
A446,418700,292000,14709,1.493553075
A420,418750,186550,17432,1.77004672
A658,418770,436000,18614,1.890067097
A446,418850,293000,18676,1.896362582
A429,418967,225000,14635,1.486039109
A453,418991,303036,10866,1.103334537
A346,419000,169298,12669,1.286411306
M42,419000,280400,107663,10.93210991
A693,419000,552470,19466,1.976579248
A660,419000,445272,12638,1.283263564
A192,419000,586872,7356,0.746928847
A3400,419000,256630,16540,1.679472966
A429,419010,225723,13450,1.365714111
A647,419130,433610,13311,1.351600039
A4,419215,169000,16961,1.722221341
A346,419220,180000,16674,1.693079337
A657,419238,437153,13273,1.347741516
A69,419250,565800,32674,3.317720658
A452,419300,286000,13603,1.381249743
A419,419300,182000,45220,4.591642534
A695,419308,563519,29177,2.962634989
A44,419372,232278,4684,0.475613747
A6038,419390,444970,13928,1.41425027
M42,419420,288660,82406,8.367512045
A658,419446,437791,15978,1.622407439
A1,419450,564180,55160,5.600950955
A3400,419496,256000,18176,1.845592541
A650,419500,430000,17386,1.765375876
A1,419500,565190,78191,7.939520597
A446,419500,290000,13877,1.409071726
A5,419500,302925,24488,2.486513542
A419,419550,184500,44703,4.539146312
A446,419560,289000,21492,2.182299455
M6,419593,286694,62914,6.388292755
A1068,419600,612000,10658,1.0822142
A1,419600,564230,19005,1.929769269
A659,419620,445185,11262,1.14354441
A1,419640,563050,55160,5.600950955
A346,419650,177700,11325,1.149941435
A4390,419670,254370,10995,1.116433208
A4091,419675,300000,7205,0.731596295
M42,419700,286500,108456,11.0126312
A4390,419710,254620,13723,1.393434553
A688,419720,526890,8707,0.884109499
M42,419750,286800,108456,11.0126312
A517,419751,346253,3390,0.34422088
A629,419760,410000,7124,0.723371548
M42,419800,284800,108456,11.0126312
A4390,419800,255200,14146,1.436386008
A69,419800,563900,27463,2.788595288
A453,419800,303460,12061,1.224674936
A192,419800,586000,9025,0.916399245
A446,419808,288000,13258,1.346218415
M6,419830,286630,62914,6.388292755
A694,419840,562500,18542,1.882756211
A429,419865,229130,7803,0.792317264
A197,419890,584500,10383,1.054290677
A191,419900,565000,5807,0.58964326
A65,419934,441000,16339,1.659063409
A695,419940,563615,32495,3.299544983
A46,419950,257970,20347,2.06603606
A1,419950,562800,25382,2.577290376
A50,419950,331620,34619,3.515216119
A511,419950,331800,2331,0.236689932
A446,419967,285401,8163,0.828871694
A695,419978,563706,32495,3.299544983
A1,420000,582950,19689,1.999222686
A59,420000,455770,6830,0.693518764
A338,420000,138350,5553,0.563852079
A452,420000,285000,12240,1.242850611
A616,420000,401251,8027,0.815062243
A689,420000,530850,11689,1.186902025
A692,420000,557900,6265,0.636148617
A4097,420000,294430,9569,0.97163705
A30,420000,133584,8837,0.89730971
A4141,420000,274140,5961,0.605280432
A436,420000,225653,5800,0.588932479
A638,420000,424500,11992,1.21766867
A642,420000,415200,11423,1.159892363
A649,420000,423860,8126,0.825114711
A651,420000,429440,7241,0.735251738
A693,420000,553100,12976,1.317584112
A6136,420000,498040,11989,1.21736405
A660,420000,444963,7880,0.800135851
A446,420000,287000,21511,2.184228716
A1,420000,566090,77098,7.828537287
A66,420000,506130,10248,1.040582766
A346,420000,167550,6516,0.661635178
A420,420000,187050,16445,1.669826658
A513,420000,306300,3867,0.392655499
A6187,420000,382770,5910,0.600101888
A643,420000,425850,5412,0.549534927
A659,420000,445420,9479,0.962498443
A690,420000,535100,7364,0.747741168
A6076,420000,553800,6536,0.66366598
A186,420000,565500,19766,2.007041272
A342,420000,154060,2356,0.239228435
A346,420000,173700,10413,1.05733688
A635,420000,408820,5625,0.571162965
A644,420000,419960,10242,1.039973526
A684,420000,490660,2666,0.27070586
A691,420000,545900,8849,0.898528191
A1068,420000,612700,5231,0.531156172
A696,420000,568950,18886,1.917686
A31,420000,107000,39457,4.006467038
A58,420000,427640,11007,1.117651689
A62,420000,422300,15970,1.621595119
A68,420000,524300,5397,0.548011826
A361,420000,192000,11890,1.207311582
A424,420000,222100,5126,0.520494463
A628,420000,401530,2001,0.203181705
A647,420000,434140,40047,4.066375687
A657,420000,437080,13273,1.347741516
A197,420000,585400,15076,1.530818285
A446,420000,286300,23862,2.422949451
M42,420000,295740,50605,5.138435879
A629,420000,408140,5696,0.57837231
A658,420000,439000,15978,1.622407439
A6108,420003,502573,5783,0.587206298
A51,420030,303800,23255,2.36131462
A6,420031,369442,4302,0.436825435
A346,420043,175580,11325,1.149941435
A4390,420045,253974,10668,1.083229601
A191,420050,565200,9432,0.957726059
M40,420080,267895,69718,7.079171477
A6076,420090,555000,7004,0.711186738
A197,420100,585700,18274,1.855543469
A3400,420100,255140,13533,1.374141938
A511,420100,331450,2545,0.25841951
A5,420100,303200,21690,2.202404391
A197,420100,586150,8166,0.829176314
A695,420120,563400,34165,3.469116921
A197,420130,584000,9795,0.994585109
A694,420140,563000,19947,2.025420027
A51,420160,303400,21476,2.180674814
A6013,420181,385544,3990,0.405144929
A1,420200,562510,68200,6.925033632
A52,420225,344509,7702,0.782061716
A40,420240,212009,6088,0.618176023
A446,420250,285000,16928,1.718870518
A361,420280,194100,6647,0.674936929
A1,420290,562350,5629,0.571569125
A453,420322,303452,23466,2.382739578
A513,420330,305500,4655,0.472669084
A38,420330,318540,4241,0.43063149
A38,420340,318170,4095,0.415806638
A623,420358,375978,4806,0.488001637
A3400,420360,255000,9133,0.927365574
A3400,420370,255140,15841,1.608496448
A651,420400,427500,12049,1.223456455
A192,420400,585000,10880,1.104756098
A446,420400,284480,16928,1.718870518
A4091,420430,301750,7998,0.81211758
M6Toll,420430,286920,10814,1.098054453
A429,420470,232360,12629,1.282349703
A67,420500,516070,5485,0.556947353
A688,420500,527320,10504,1.066577027
A1,420500,613100,7436,0.755052054
A3400,420515,255104,14110,1.432730565
A651,420530,427000,7411,0.752513552
A4091,420541,303000,12528,1.272094155
A3400,420550,254890,20201,2.051211208
A659,420550,445590,8855,0.899137431
A3400,420580,254000,7263,0.73748562
A36,420600,125000,13156,1.335861326
A58,420600,428000,11340,1.151464536
A5012,420621,359278,2326,0.236182232
A452,420700,284000,29343,2.979490643
A68,420742,523659,5397,0.548011826
A45,420750,283150,36505,3.706720715
A453,420786,303484,20761,2.108073654
M6,420802,286599,57713,5.860182786
A650,420810,429540,10569,1.073177133
A6120,420900,435000,19056,1.934947814
A303,420934,142855,29972,3.043359355
A689,420940,529750,12975,1.317482571
A453,420975,303903,9551,0.969809329
A651,421000,425000,5294,0.537553197
A658,421000,440400,7786,0.790591083
A6187,421000,382200,6888,0.699408089
A62,421000,424000,13341,1.354646242
A652,421000,426850,8897,0.903402115
A453,421000,304450,11180,1.135218123
A1,421000,567500,70841,7.19320099
A659,421000,445770,8354,0.84826585
A167,421000,566230,23195,2.355222215
A422,421000,254520,4784,0.485767755
A196,421000,584900,7454,0.756879776
A642,421000,415230,11584,1.176240317
A696,421000,568150,20019,2.032730913
A186,421009,565060,13333,1.353833921
A6076,421045,558000,5986,0.607818934
A51,421057,303585,13740,1.395160735
A191,421100,566000,9204,0.93457492
A650,421100,429300,10076,1.023117872
A6072,421125,526268,9909,1.006160678
A4390,421160,253690,4366,0.443324001
A453,421194,303759,15841,1.608496448
A688,421310,528320,10603,1.076629496
A429,421352,235000,6784,0.68884792
A6072,421357,529000,11892,1.207514662
A361,421360,199450,6647,0.674936929
A1,421365,580000,26774,2.718634171
A650,421370,428802,10076,1.023117872
A167,421376,567666,29073,2.952074821
A361,421400,199520,9177,0.931833338
A51,421428,300000,6890,0.699611169
A38,421480,320000,38672,3.926758074
A58,421490,428488,11340,1.151464536
A971,421500,1155280,132,0.013403291
A4141,421520,272000,4879,0.495414063
A511,421542,330862,3972,0.403317208
A1,421590,504800,33708,3.422713104
A1,421600,506000,34901,3.543850422
A511,421600,330000,7030,0.713826781
A643,421600,426000,4760,0.483330793
A191,421600,566600,3836,0.389507757
A167,421600,566130,21586,2.191844223
A361,421610,200240,6656,0.67585079
A51,421628,295997,8293,0.842071905
A167,421630,567000,24258,2.463159323
A3400,421634,250015,5555,0.564055159
A1(M),421700,508000,27920,2.834999106
A1,421710,562114,64331,6.532175052
A62,421900,425000,11570,1.174818755
A688,422000,528935,16061,1.630835266
M62,422000,427500,89903,9.128758044
A45,422000,283160,30113,3.057676507
A6020,422000,370600,2645,0.268573518
A452,422000,282111,17215,1.748012522
A1114,422000,562720,10661,1.08251882
A57,422000,387580,5209,0.52892229
A417,422000,199530,2322,0.235776072
M4,422000,180940,62973,6.39428362
A652,422000,426230,9614,0.976206354
A511,422000,327480,7421,0.753528953
A44,422000,232330,4757,0.483026173
A1,422010,569000,65801,6.681438974
A58,422022,428774,4552,0.462210456
A167,422036,566487,20983,2.130615553
A619,422060,370000,4256,0.432154591
A452,422100,280000,10854,1.102116056
A1,422150,500000,23954,2.432291138
A643,422200,426250,5667,0.575427648
A5121,422260,321500,17665,1.793705559
A652,422300,426000,7766,0.788560281
A6120,422440,437000,31371,3.185413931
A62,422500,426000,13800,1.40125314
A65,422500,438000,16837,1.70963037
A338,422500,158900,6249,0.634523976
A38,422520,322972,26723,2.713455627
A6136,422530,500000,7083,0.719208405
A1,422700,570000,62069,6.302491386
A1(M),422700,509250,40066,4.068304949
A692,422730,560050,8670,0.880352516
A4177,422860,270000,9300,0.944322768
A657,422900,436000,7799,0.791911104
A35,422920,100000,6791,0.689558701
A167,422950,566170,45262,4.595907218
A337,423000,93960,12813,1.301033078
A338,423000,143510,2422,0.24593008
A196,423000,585480,6715,0.681841655
A658,423000,443140,13501,1.370892655
A45,423050,282920,30113,3.057676507
A1,423050,561620,74978,7.613272312
A338,423070,143850,2277,0.231206768
A189,423130,565910,8590,0.872229309
A5121,423165,322255,12205,1.239296708
A1,423175,574850,24096,2.44670983
A338,423190,143650,5974,0.606600453
A1,423290,574350,25270,2.565917887
A44,423350,231955,3074,0.312134214
A429,423400,240000,6417,0.65158271
A619,423414,371344,4531,0.460078114
A6072,423420,525000,9314,0.945744329
A338,423440,150000,5568,0.56537518
A19,423460,574550,33754,3.427383947
A58,423500,430000,7315,0.742765704
A338,423500,145000,7197,0.730783974
A692,423500,560640,9624,0.977221755
M621,423506,427846,13485,1.369268014
A167,423520,565910,36829,3.739619701
A1,423540,573080,45946,4.665360634
A338,423570,148000,7197,0.730783974
A1,423570,561160,85566,8.688378706
A652,423600,425000,13327,1.353224681
A184,423600,561650,36226,3.678391032
A189,423630,565000,8590,0.872229309
A623,423650,375000,6501,0.660112077
A62,423650,427620,13309,1.351396959
M621,423654,428000,8875,0.901168233
A1068,423680,575000,12794,1.299103817
A45,423680,282850,30961,3.143782497
A4177,423700,272000,6333,0.643053343
A420,423700,189900,13668,1.387849849
A660,423730,444360,13277,1.348147676
A184,423760,561850,33779,3.429922449
A439,423778,260010,10451,1.061195403
A342,423800,151900,2430,0.246742401
A1,423800,571750,45946,4.665360634
A1114,423800,561930,9616,0.976409434
A5,423874,300944,31469,3.195364859
M62,423880,427980,91367,9.277412725
A62,423890,427860,30798,3.127231463
A1,423900,560000,73388,7.45182358
A62,423909,427890,30798,3.127231463
A192,423940,580400,4613,0.468404401
A19,424000,574700,24961,2.534542001
A1056,424000,571245,17507,1.777662226
A68,424000,521040,3763,0.382095331
A647,424000,434120,39733,4.034492101
A338,424000,153160,4474,0.454290329
A643,424000,426900,6394,0.649247288
A189,424000,566800,14665,1.489085311
A638,424000,422300,14747,1.497411598
A695,424000,563407,13452,1.365917191
A642,424000,415720,6909,0.701540431
A650,424000,428220,19291,1.958809733
A191,424050,568030,10031,1.018548568
A511,424054,325218,7932,0.805415935
A361,424060,207000,3973,0.403418748
A62,424101,428086,25309,2.56987795
A6136,424102,498000,5747,0.583550855
A695,424150,563500,6755,0.685903258
A1056,424190,571520,24295,2.466916306
A189,424200,563690,26649,2.705941661
A192,424228,580000,9789,0.993975868
A1056,424235,571705,24295,2.466916306
A688,424239,532242,13107,1.330885862
A189,424240,564000,19424,1.972314564
A695,424250,563620,6755,0.685903258
A189,424260,564150,8590,0.872229309
A6115,424270,563825,10185,1.034185741
M621,424290,428000,10677,1.084143462
A186,424300,564080,5126,0.520494463
A695,424300,563530,11071,1.124150254
A695,424300,563750,11071,1.124150254
A6115,424345,563825,10185,1.034185741
A189,424355,563325,28060,2.849214717
A184,424360,562400,33023,3.353158147
A638,424365,421760,13789,1.400136199
A5121,424397,323732,10700,1.086478884
A638,424400,421500,10917,1.108513082
A658,424433,445246,16131,1.637943072
A40,424436,211854,9155,0.929599456
A186,424440,564050,5126,0.520494463
A186,424440,563910,5736,0.582433914
A6187,424447,380635,4129,0.419259001
A1068,424470,578000,9953,1.010628442
A638,424470,421970,15483,1.572145099
A647,424500,434000,19631,1.993333361
A452,424500,275950,9692,0.98412648
A1172,424500,577180,7113,0.722254607
A50,424536,331320,30437,3.090575494
A346,424550,152800,2391,0.242782337
A636,424560,410000,6665,0.67676465
A189,424580,563000,28060,2.849214717
A650,424600,428000,14838,1.506651745
A186,424600,564000,9868,1.001997535
A638,424600,422030,17937,1.821324461
A6115,424600,563910,7597,0.771400007
A1(M),424600,512350,28776,2.921917416
A643,424620,427360,6394,0.649247288
A658,424630,445000,15681,1.592250035
A5189,424725,322267,24546,2.492402867
A511,424800,323600,14559,1.478322062
A638,424840,421800,19624,1.992622581
A167M,424850,565450,42948,4.360943467
A186,424880,564000,10962,1.113082385
A623,424886,373688,6091,0.618480643
A186,424900,563900,10299,1.04576131
A46,424993,261557,32064,3.255781208
A5,425000,300500,19154,1.944898742
A45,425000,282640,30961,3.143782497
A66,425000,512000,11646,1.182535802
A67,425000,514230,6885,0.699103469
A629,425000,404540,5235,0.531562332
A638,425000,421690,20249,2.056085132
M621,425000,427910,13226,1.342969132
A971,425000,1150100,413,0.041936054
A65,425000,436700,14963,1.519344256
A189,425000,567140,20350,2.066340681
A196,425000,585040,6122,0.621628386
A1172,425000,577100,7817,0.793738826
A5012,425000,356700,2365,0.240142295
A57,425000,387800,4636,0.470739823
A338,425000,160540,2058,0.20896949
A424,425000,214540,4083,0.414588157
A184,425000,563000,17619,1.789034715
A1068,425000,581000,6468,0.656761254
A6120,425000,437850,16342,1.65936803
A635,425000,407700,2124,0.215671135
A303,425000,144131,21526,2.185751818
A35,425000,103900,8726,0.886038761
A36,425000,121640,10946,1.111457744
A192,425000,578950,6149,0.624369968
A637,425000,415230,9336,0.947978211
A4177,425000,275045,6736,0.683973996
A6110,425000,433200,23630,2.399392151
A197,425000,587660,7983,0.810594479
A343,425000,135490,5514,0.559892015
A186,425000,564080,21261,2.158843696
A6072,425000,522843,9314,0.945744329
A191,425000,567990,11107,1.127805697
A653,425000,422000,11535,1.171264853
A650,425000,427500,12709,1.29047291
A1056,425000,571860,20876,2.119750764
A693,425000,553450,14816,1.504417864
A337,425000,94330,15285,1.552040162
A5132,425000,330940,4030,0.409206533
A5121,425026,324550,10807,1.097343672
A3026,425030,150000,3675,0.373159803
