Road,S Ref E,S Ref N,FdCar,Score
U,414658,187534,3,0.00030462
U,414678,285683,0,0
U,414698,434356,0,0
U,414706,180926,0,0
U,414711,278575,0,0
C,414724,279076,18,0.001827721
U,414780,186635,0,0
U,414801,284562,0,0
B5055,414824,366517,6,0.00060924
B3347,414829,105489,66,0.006701645
C,414911,186354,0,0
C,414954,124920,0,0
U,415022,291603,0,0
U,415088,278155,0,0
U,415410,571061,0,0
U,415424,288931,0,0
U,415463,200896,0,0
B6106,415479,405210,2,0.00020308
U,415594,438527,0,0
C,415738,118733,0,0
U,415825,129221,7,0.000710781
B4006,415891,183399,11,0.001116941
U,415918,433717,0,0
B6145,415969,433004,48,0.004873924
B4632,415980,243451,9,0.000913861
C,416024,188810,16,0.001624641
C,416144,107667,0,0
U,416226,430492,4,0.00040616
U,416265,558374,0,0
U,416375,552338,1,0.00010154
U,416380,288597,0,0
U,416400,428310,0,0
B6298,416431,535184,12,0.001218481
B5016,416466,319174,8,0.000812321
C,416473,519737,0,0
C,416501,138202,16,0.001624641
B4118,416516,290830,12,0.001218481
U,416609,183529,0,0
U,416680,432838,3,0.00030462
U,416712,275837,0,0
U,416716,184306,0,0
B4143,416759,186067,70,0.007107806
U,416818,286761,0,0
U,416820,433199,1,0.00010154
B4118,416848,290950,4,0.00040616
C,416907,433376,1,0.00010154
U,416908,430351,2,0.00020308
U,416954,566256,0,0
U,417155,286588,4,0.00040616
C,417164,334960,0,0
U,417218,278938,5,0.0005077
B4101,417513,275945,20,0.002030802
C,417576,354596,1,0.00010154
U,417580,288930,0,0
U,417592,168919,2,0.00020308
U,417749,261298,0,0
U,417868,185198,0,0
C,417875,107154,0,0
U,417879,418264,4,0.00040616
U,417958,562704,1,0.00010154
U,418310,562715,2,0.00020308
B6324,418520,567947,8,0.000812321
U,418683,441642,0,0
U,418765,446462,0,0
U,418773,435722,2,0.00020308
U,418919,433741,1,0.00010154
U,419040,310563,0,0
U,419086,565503,3,0.00030462
B6317,419225,563536,88,0.008935527
U,419270,304363,0,0
C,419290,303593,0,0
C,419571,566459,18,0.001827721
U,419649,290035,0,0
U,419781,554248,4,0.00040616
U,419781,424803,0,0
U,419976,424107,0,0
U,420070,440193,0,0
B5056,420071,352863,43,0.004366224
C,420112,192458,1,0.00010154
U,420121,304778,0,0
U,420212,441244,0,0
C,420223,567433,6,0.00060924
C,420313,436165,6,0.00060924
U,420442,552156,0,0
U,420633,560517,0,0
U,420835,568548,0,0
U,420867,441507,1,0.00010154
U,420984,431095,0,0
U,421196,567414,2,0.00020308
U,421341,435603,0,0
U,421481,297161,0,0
C,421656,518767,4,0.00040616
B6156,421740,435196,6,0.00060924
U,421861,403869,0,0
B6345,421882,600837,2,0.00020308
